NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV,latitude,longitude
118800,,DUDINCE,CZ,4810N,01852E,143.0,48.166666666666664,18.866666666666667
119030,LKSL,SLIAC,CZ,4838N,01909E,318.0,48.63333333333333,19.15
119160,,CHOPOK MOUNTAIN,CZ,4856N,01935E,2012.0,48.93333333333333,19.583333333333332
119180,,LIESEK,CZ,4922N,01941E,692.0,49.36666666666667,19.683333333333334
119270,,LUCENEC,CZ,4820N,01946E,219.0,48.333333333333336,19.766666666666666
119300,,LOMNICKY STIT(PEAK),CZ,4912N,02013E,2635.0,49.2,20.216666666666665
119330,,STRBSKE PLESO,CZ,4907N,02005E,1368.0,49.11666666666667,20.083333333333332
119340,LZTT,POPRAD/TATRY,CZ,4904N,02015E,707.0,49.06666666666667,20.25
119380,,SVERMOVO,CZ,4851N,02011E,906.0,48.85,20.183333333333334
119520,,POPRAD/GANOVCE,CZ,4902N,02019E,706.0,49.03333333333333,20.316666666666666
119680,LKKZ,KOSICE,CZ,4842N,02116E,232.0,48.7,21.266666666666666
119760,,STROPKOV/TISINEC,CZ,4913N,02139E,220.0,49.21666666666667,21.65
119780,,MILHOSTOV,CZ,4840N,02144E,104.0,48.666666666666664,21.733333333333334
119930,,KAMENICA CIROCHOU,CZ,4856N,02200E,178.0,48.93333333333333,22.0
121000,,KOLOBRZEG,PL,5411N,01535E,5.0,54.18333333333333,15.583333333333334
121050,EPKO,KOSZALIN          &,PL,5412N,01609E,34.0,54.2,16.15
121060,,ZEGRZE POMORSKIE,PL,5402N,01618E,73.0,54.03333333333333,16.3
121150,,USTKA,PL,5435N,01652E,8.0,54.583333333333336,16.866666666666667
121163,EPSK,SLUPSK            &,PL,5428N,01701E,25.0,54.46666666666667,17.016666666666666
121200,,LEBA,PL,5445N,01732E,2.0,54.75,17.533333333333335
121250,,LEBORK,PL,5433N,01745E,22.0,54.55,17.75
121350,,HEL,PL,5436N,01849E,3.0,54.6,18.816666666666666
121450,,GDYNIA,PL,5431N,01834E,15.0,54.516666666666666,18.566666666666666
121500,EPGD,GDANSK/REBIECHOWO,PL,5423N,01828E,138.0,54.38333333333333,18.466666666666665
121550,,GDANSK/SWIBNO,PL,5420N,01856E,9.0,54.333333333333336,18.933333333333334
121600,,ELBLAG,PL,5410N,01926E,43.0,54.166666666666664,19.433333333333334
121850,,KETRZYN,PL,5404N,02122E,110.0,54.06666666666667,21.366666666666667
121950,,SUWALKI,PL,5408N,02257E,186.0,54.13333333333333,22.95
122000,,SWINOUJSCIE,PL,5355N,01414E,5.0,53.916666666666664,14.233333333333333
122050,EPSC,SZCZECIN/GOLENIOW,PL,5324N,01437E,3.0,53.4,14.616666666666667
122100,,RESKO,PL,5346N,01525E,56.0,53.766666666666666,15.416666666666666
122150,,SZCZECINEK,PL,5343N,01641E,144.0,53.71666666666667,16.683333333333334
122300,,PILA,PL,5308N,01645E,73.0,53.13333333333333,16.75
122350,,CHOJNICE,PL,5342N,01733E,177.0,53.7,17.55
122500,,TORUN,PL,5302N,01835E,72.0,53.03333333333333,18.583333333333332
122700,,MLAWA,PL,5306N,02021E,149.0,53.1,20.35
122720,,OLSZTYN,PL,5346N,02025E,135.0,53.766666666666666,20.416666666666668
122800,,MIKOLAJKI,PL,5347N,02135E,131.0,53.78333333333333,21.583333333333332
122850,,OSTROLEKA,PL,5305N,02134E,96.0,53.083333333333336,21.566666666666666
122950,,BIALYSTOK,PL,5306N,02310E,151.0,53.1,23.166666666666668
123000,,GORZOW/WIELKOPOLSKI,PL,5245N,01517E,73.0,52.75,15.283333333333333
123100,,SLUBICE,PL,5221N,01436E,24.0,52.35,14.6
123300,EPPO,POZNAN/LAWICA,PL,5225N,01650E,92.0,52.416666666666664,16.833333333333332
123450,,KOLO,PL,5212N,01840E,117.0,52.2,18.666666666666668
123600,,PLOCK,PL,5235N,01944E,109.0,52.583333333333336,19.733333333333334
123740,,LEGIONOWO,PL,5224N,02058E,96.0,52.4,20.966666666666665
123750,EPWA,WARSAW/OKECIE,PL,5210N,02058E,107.0,52.166666666666664,20.966666666666665
