NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV
722300,,SHELBY CO ARPT,AL,3310N,08646W,178
722303,01T,HIGH ISLAND,LA,2808N,09424W,30
722304,1G7,MISSISSIPPI CANYON,LA,2847N,08903W,18
722305,3V8,VENICE HELIPORT,LA,2907N,08912W,80
722306,41I,EUGENE ISLAND B266C,LA,2828N,09147W,30
722307,7R1,GOLDEN TRI (AWOS),LA,2918N,08924W,2
722308,9F2,FOURCHON (SAWRS),LA,2906N,09012W,2
722309,AXO,GRAND ISLE (SAWRS),LA,2915N,08958W,2
722310,MSY,NEW ORLEANS/MOISANT,LA,2959N,09015W,9
722313,SIL,SLIDELL RADAR,LA,3015N,08946W,3
722314,ARA,NEW IBERIA/ACADIANA,LA,3002N,09153W,7
722315,NEW,NEW ORLEANS/LAKEFRO,LA,3003N,09002W,3
722316,NBG,NEW ORLEANS NAS,LA,2950N,09002W,0
722317,BTR,BATON ROUGE/RYAN,LA,3032N,09109W,21
722318,28K,GRNCYN BLK52(SAWRS),LA,2753N,09130W,1
722320,BVE,BOOTHVILLE,LA,2920N,08924W,0
722325,8R3,SOUTHWEST PASS(CGS),LA,2855N,08926W,1
722326,8R5,GRAND ISLE (CGS),LA,2916N,08957W,2
722327,7R2,LEEVILLE,LA,2913N,09014W,2
722328,7R3,AMELIA/LAKE PALOURD,LA,2942N,09106W,2
722329,PTN,PATTERSON MEMORIAL,LA,2943N,09120W,3
722330,LIX,SLIDELL MUNICIPAL,LA,3020N,08949W,8
722335,P30,WEST CAMERON,LA,2820N,09301W,24
722337,5R0,EAST ADDITION B323,TX,2813N,09345W,26
722340,MEI,MERIDIAN/KEY FIELD,MS,3220N,08845W,94
722344,LMS,LOUISVILLE/WINSTON,MS,3309N,08904W,175
722345,NMM,MERIDIAN NAS/MCCAIN,MS,3233N,08834W,97
722346,LUL,LAUREL/NOBLE FIELD,MS,3140N,08910W,73
722347,HBG,HATTIESBURG MUNI,MS,3116N,08915W,46
722348,PIB,PINE BELT RGNL AWOS,MS,3128N,08920W,91
722349,PCU,PICAYUNE/PEARL RIV&,MS,3031N,08942W,19
722350,JAN,JACKSON/THOMPSON,MS,3219N,09005W,101
722355,VKS,VICKSBURG MUNICIPAL,MS,3214N,09056W,32
722356,GLH,GREENVILLE MUNI,MS,3329N,09059W,40
722357,HEZ,NATCHEZ/HARDY(AWOS),MS,3137N,09118W,83
722358,MCB,MCCOMB/LEWIS FIELD,MS,3111N,09028W,126
722359,GWO,GREENWOOD/LEFLORE,MS,3330N,09005W,47
722365,P21,MAIN PASS B68,LA,2940N,08853W,1
722375,P22,VERMILION B131,LA,2904N,09211W,1
722384,H39,HIGH ISLAND A572C,LA,2757N,09359W,30
722385,P25,VERMILION B215,LA,2842N,09219W,1
722390,POE,FORT POLK (ARMY),LA,3103N,09312W,100
722393,L40,HIGH ISLAND A489B,LA,2812N,09412W,
722394,S02,SHIP SHOAL B224A,LA,2830N,09118W,32
722395,P26,GRAND ISLE B95,LA,2830N,09007W,1
722396,VUW,EUGENE ISLAND,LA,2815N,09150W,1
722397,19R,SHIP SHOAL PLATFORM,LA,2841N,09113W,18
722398,7R8,SOUTH MARSH ISLAND,LA,2818N,09159W,1
722400,LCH,LAKE CHARLES MUNI,LA,3007N,09313W,10
722403,P92,SALT POINT (RAMOS),LA,2936N,09118W,3
722404,CWF,CHENAULT AIRPARK,LA,3013N,09309W,4
722405,LFT,LAFAYETTE REGIONAL,LA,3012N,09159W,13
722406,HUM,HOUMA-TERREBONNE,LA,2934N,09040W,3
722407,8R6,CALCASIEU (CGS),LA,2947N,09321W,1
722408,7R4,INTRACOASTAL CITY,LA,2947N,09208W,5
722409,P00,TENNECO PLATFORM,LA,2800N,09300W,15
